Time,StudentID,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ReadingScore,WritingScore,PredictedMathScore,MathScore
00:00.0,21861,Female,5,Some High School,Standard,Not completed,76,76,72,73
01:17.2,1278,Male,3,Bachelors,Standard,Completed,95,93,93,98
02:34.3,19134,Female,2,Some College,Standard,Not completed,51,57,47,52
03:51.5,4577,Male,2,Some High School,Free or Reduced,Not completed,52,43,52,39
05:08.7,29547,Male,3,Some High School,Free or Reduced,Not completed,51,48,55,61
06:25.9,17950,Female,3,Some High School,Standard,Completed,90,91,81,79
07:43.0,5461,Female,2,High School,Free or Reduced,Not completed,72,69,59,58
09:00.2,14111,Female,0,High School,Standard,Not completed,63,61,52,58
10:17.4,10217,Female,2,Bachelors,Free or Reduced,Not completed,67,67,57,48
11:34.6,10855,Male,1,Some High School,Standard,Not completed,62,53,63,63
12:51.7,24612,Male,2,Some College,Standard,Not completed,59,55,63,60
14:08.9,20158,Male,2,Some College,Standard,Completed,75,73,78,85
15:26.1,9489,Male,2,Associates,Free or Reduced,Completed,68,69,71,81
16:43.3,14802,Male,3,Masters,Standard,Completed,62,68,69,66
18:00.4,22266,Female,3,Some College,Standard,Completed,83,83,73,68
19:17.6,17035,Female,5,Some High School,Standard,Not completed,60,59,54,62
20:34.8,9252,Male,3,Masters,Standard,Not completed,91,95,94,90
21:52.0,2683,Male,3,Some High School,Standard,Not completed,64,62,70,86
23:09.1,11309,Female,0,High School,Standard,Completed,60,64,56,53
24:26.3,16591,Male,3,High School,Free or Reduced,Completed,68,63,68,60
25:43.5,16949,Female,2,Some College,Free or Reduced,Not completed,57,47,43,39
27:00.7,12434,Female,2,Bachelors,Standard,Not completed,89,90,79,86
28:17.8,18134,Female,1,Bachelors,Free or Reduced,Completed,94,95,85,82
29:35.0,28747,Male,3,Bachelors,Standard,Not completed,91,83,92,91
30:52.2,24016,Male,5,Some High School,Free or Reduced,Completed,61,62,69,69
32:09.4,21926,Male,1,Associates,Standard,Not completed,72,72,76,76
33:26.5,17389,Female,3,Some High School,Standard,Completed,77,78,67,64
